25 50 -1
-25 -20 1
-25 -10 1
-25 0 1
-25 10 1
-25 20 1
-25 30 1
-25 40 1
-25 50 1
-25 60 1
-25 70 1
-25 80 1
-25 90 1
-25 100 1
-25 110 1
-25 120 1
-25 130 1
-25 140 1
-25 150 1
-25 160 1
-25 170 1
-25 180 1
-25 190 1
0 -20 1
0 -10 1
0 0 1
0 10 1
0 20 1
0 30 1
0 40 1
0 50 1
0 60 1
0 70 1
0 80 1
0 90 1
0 100 1
0 110 1
0 120 1
0 130 1
0 140 1
0 150 1
0 160 1
0 170 1
0 180 1
0 190 1
25 -20 1
25 -10 1
25 0 1
25 10 1
25 20 1
25 30 1
25 40 1
25 50 1
25 60 1
25 70 1
25 80 1
25 90 1
25 100 1
25 110 1
25 120 1
25 130 1
25 140 1
25 150 1
25 160 1
25 170 1
25 180 1
25 190 1
50 -20 1
50 -10 1
50 0 1
50 10 1
50 20 1
50 30 1
50 40 1
50 50 1
50 60 1
50 70 1
50 80 1
50 90 1
50 100 1
50 110 1
50 120 1
50 130 1
50 140 1
50 150 1
50 160 1
50 170 1
50 180 1
50 190 1
75 -20 1
75 -10 1
75 0 1
75 10 1
75 20 1
75 30 1
75 40 1
75 50 1
75 60 1
75 70 1
75 80 1
75 90 1
75 100 1
75 110 1
75 120 1
75 130 1
75 140 1
75 150 1
75 160 1
75 170 1
75 180 1
75 190 1
100 -20 1
100 -10 1
100 0 1
100 10 1
100 20 1
100 30 1
100 40 1
100 50 1
100 60 1
100 70 1
100 80 1
100 90 1
100 100 1
100 110 1
100 120 1
100 130 1
100 140 1
100 150 1
100 160 1
100 170 1
100 180 1
100 190 1
125 -20 1
125 -10 1
125 0 1
125 10 1
125 20 1
125 30 1
125 40 1
125 50 1
125 60 1
125 70 1
125 80 1
125 90 1
125 100 1
125 110 1
125 120 1
125 130 1
125 140 1
125 150 1
125 160 1
125 170 1
125 180 1
125 190 1
150 -20 1
150 -10 1
150 0 1
150 10 1
150 20 1
150 30 1
150 40 1
150 50 1
150 60 1
150 70 1
150 80 1
150 90 1
150 100 1
150 110 1
150 120 1
150 130 1
150 140 1
150 150 1
150 160 1
150 170 1
150 180 1
150 190 1
